method,m,i,step,cost,time
random,1,2,535,34.68632888793945,4.937280893325806
random,1,2,536,34.627540588378906,4.937280893325806
random,1,2,537,34.48269271850586,4.937280893325806
random,1,2,538,34.72083282470703,4.937280893325806
random,1,2,539,34.711978912353516,4.937280893325806
random,1,2,540,34.73670196533203,4.937280893325806
random,1,2,541,34.88566589355469,4.937280893325806
random,1,2,542,35.00944519042969,4.937280893325806
random,1,2,543,35.08689880371094,4.937280893325806
random,1,2,544,35.34691619873047,4.937280893325806
random,1,2,545,34.93487548828125,4.937280893325806
random,1,2,546,34.854366302490234,4.937280893325806
random,1,2,547,35.057621002197266,4.937280893325806
random,1,2,548,35.524261474609375,4.937280893325806
random,1,2,549,35.63894271850586,4.937280893325806
random,1,2,550,35.355987548828125,4.937280893325806
random,1,2,551,35.85714340209961,4.937280893325806
random,1,2,552,35.83404541015625,4.937280893325806
random,1,2,553,35.88957214355469,4.937280893325806
random,1,2,554,35.655555725097656,4.937280893325806
random,1,2,555,36.08366012573242,4.937280893325806
random,1,2,556,36.22031784057617,4.937280893325806
random,1,2,557,36.432979583740234,4.937280893325806
random,1,2,558,36.378116607666016,4.937280893325806
random,1,2,559,36.16609191894531,4.937280893325806
random,1,2,560,36.49577713012695,4.937280893325806
random,1,2,561,36.850975036621094,4.937280893325806
random,1,2,562,36.798622131347656,4.937280893325806
random,1,2,563,36.80455017089844,4.937280893325806
random,1,2,564,37.27181625366211,4.937280893325806
random,1,2,565,37.38055419921875,4.937280893325806
random,1,2,566,37.63125991821289,4.937280893325806
random,1,2,567,37.62366485595703,4.937280893325806
random,1,2,568,37.859100341796875,4.937280893325806
random,1,2,569,37.762672424316406,4.937280893325806
random,1,2,570,37.67083740234375,4.937280893325806
random,1,2,571,37.40229034423828,4.937280893325806
random,1,2,572,38.071170806884766,4.937280893325806
random,1,2,573,37.862953186035156,4.937280893325806
random,1,2,574,37.8929328918457,4.937280893325806
random,1,2,575,37.90427017211914,4.937280893325806
random,1,2,576,37.80895233154297,4.937280893325806
random,1,2,577,37.920875549316406,4.937280893325806
random,1,2,578,37.638671875,4.937280893325806
random,1,2,579,37.3592529296875,4.937280893325806
